l, theta
0.298,1.19037
0.304,1.19651
0.304,1.20264
0.304,1.20878
0.304,1.21491
0.305,1.22105
0.305,1.22718
0.31,1.23332
0.306,1.23946
0.306,1.24559
0.31,1.25173
0.31,1.25786
0.308,1.264
0.316,1.27014
0.312,1.27627
0.312,1.28241
0.313,1.28854
0.314,1.29468
0.314,1.30082
0.318,1.30695
0.32,1.31309
0.33,1.31922
0.33,1.32536
0.33,1.3315
0.322,1.33763
0.322,1.34377
0.319,1.3499
0.319,1.35604
0.319,1.36217
0.319,1.36831
0.319,1.37445
0.321,1.38058
0.322,1.38672
0.323,1.39285
0.322,1.39899
0.327,1.40513
0.329,1.41126
0.333,1.4174
0.334,1.42353
0.334,1.42967
0.336,1.43581
0.336,1.44194
0.336,1.44808
0.336,1.45421
0.341,1.46035
0.341,1.46649
0.341,1.47262
0.336,1.47876
0.336,1.48489
0.336,1.49103
0.336,1.49717
0.336,1.5033
0.34,1.50944
0.337,1.51557
0.34,1.52171
0.34,1.52784
0.34,1.53398
0.346,1.54012
0.351,1.54625
0.351,1.55239
0.351,1.55852
0.351,1.56466
0.35,1.5708
0.35,1.57693
0.343,1.58307
0.35,1.5892
0.353,1.59534
0.353,1.60148
0.353,1.60761
0.357,1.61375
nan,1.61988
nan,1.62602
nan,1.63216
nan,1.63829
nan,1.64443
nan,1.65056
nan,1.6567
nan,1.66284
nan,1.66897
nan,1.67511
nan,1.68124
nan,1.68738
nan,1.69351
nan,1.69965
nan,1.70579
nan,1.71192
nan,1.71806
nan,1.72419
nan,1.73033
nan,1.73647
nan,1.7426
nan,1.74874
nan,1.75487
nan,1.76101
nan,1.76715
nan,1.77328
nan,1.77942
nan,1.78555
nan,1.79169
nan,1.79783
nan,1.80396
nan,1.8101
nan,1.81623
nan,1.82237
nan,1.82851
nan,1.83464
nan,1.84078
nan,1.84691
nan,1.85305
nan,1.85918
nan,1.86532
nan,1.87146
nan,1.87759
nan,1.88373
nan,1.88986
nan,1.896
nan,1.90214
nan,1.90827
nan,1.91441
nan,1.92054
nan,1.92668
nan,1.93282
nan,1.93895
nan,1.94509
nan,1.95122
nan,1.95736
nan,1.9635
nan,1.96963
nan,1.97577
nan,1.9819
nan,1.98804
nan,1.99417
nan,2.00031
nan,2.00645
nan,2.01258
nan,2.01872
nan,2.02485
nan,2.03099
nan,2.03713
nan,2.04326
nan,2.0494
nan,2.05553
nan,2.06167
nan,2.06781
nan,2.07394
nan,2.08008
nan,2.08621
nan,2.09235
nan,2.09849
1.1492e-41,2.10462
1.65012e-07,2.11076
5.2593e+22,2.11689
1.00231e-08,2.12303
1.03133e-08,2.12917
8.82039e-33,2.1353
nan,2.14144
nan,2.14757
nan,2.15371
nan,2.15984
nan,2.16598
nan,2.17212
nan,2.17825
nan,2.18439
nan,2.19052
nan,2.19666
nan,2.2028
nan,2.20893
nan,2.21507
nan,2.2212
nan,2.22734
nan,2.23348
nan,2.23961
nan,2.24575
nan,2.25188
nan,2.25802
nan,2.26416
nan,2.27029
nan,2.27643
nan,2.28256
nan,2.2887
nan,2.29484
nan,2.30097
nan,2.30711
nan,2.31324
nan,2.31938
nan,2.32551
nan,2.33165
nan,2.33779
nan,2.34392
nan,2.35006
nan,2.35619
nan,2.36233
nan,2.36847
nan,2.3746
nan,2.38074
nan,2.38687
nan,2.39301
nan,2.39915
nan,2.40528
nan,2.41142
nan,2.41755
nan,2.42369
